questions,links,notes,TAGS,semanticsearch,client,id,diagram
כמה מפגעים קיימים בעיר בסהכ?,,5213,"מפגעים,סהכ,סה״כ,בסך הכל,בסכום הכולל,בני ברק",כמה מפגעים קיימים בעיר בסהכ?:5213,בני ברק,0,"categories = [מפגע מדרכה,מפגע ריהוט והצללה,מפגע תברואה,מפגע תמרור ,Grand Total]values = [1950,81,66,1,5213]"
כמה מפגעי מדרכה קיימים?,,1950,"מפגעים,מפגעי מדרכה,מדרכה,במדרכה,ומדרכה,מדרכות,בני ברק",כמה מפגעי מדרכה קיימים?:1950,בני ברק,1,"categories = [גדר בטיחות פגומה,גידוד שורשים,שקע,תמרור תקול,שקע בכביש]values = [1,66,15,1,1]"
כמה מפגעי כביש קיימים?,,3115,"מפגעים,מפגעי כביש,כביש,בכביש,וכביש,כבישים,בני ברק",כמה מפגעי כביש קיימים?:3115,בני ברק,2,"categories = [בור בכביש,בור במדרכה,כביש סדוק,ספסל תקול,שקע בכביש,שקע במדרכה]values = [3093,1874,3,81,1,21]"
כמה מפגעי תמרורים קיימים?,,1,"מפגעים,מפגעי תמרור,בתמרור,תמרורים,ותמרו,ותמרורים,תמרורים,בני ברק",כמה מפגעי תמרורים קיימים?:1,בני ברק,3,categories = [Grand Total]values = [5213]
כמה מפגעי תברואה קיימים?,,66,"מפגעים,מפגעי תברואה,ותברואה,בני ברק",כמה מפגעי תברואה קיימים?:66,בני ברק,4,categories = [כביש מקורצף]values = [4]
כמה מפגעי תאורה וחשמל קיימים?,,37,"מפגעים,תאורה,חשמל,תאורה,חשמל,וחשמל,ותאורה,תאורה וחשמל,בני ברק",כמה מפגעי תאורה וחשמל קיימים?:37,בני ברק,5,
כמה מפגעי ריהוט והצללה קיימים?,,81,"מפגעים,ריהוט,הצללה,ריהטים,הצללות,וריהוט,והצללות,ריהוט והצללה,בני ברק",כמה מפגעי ריהוט והצללה קיימים?:81,בני ברק,6,
כמה מפגעים קשים קיימים?,,102,"מפגעים,קשה,וקשה,קשים,דירוג קשה,בני ברק",כמה מפגעים קשים קיימים?:102,בני ברק,7,
כמה מפגעים בינוניים קיימים?,,1131,"מפגעים,בינוני,ובינוני,בינוניים,דירוג בינוני,בני ברק",כמה מפגעים בינוניים קיימים?:1131,בני ברק,8,
כמה מפגעים קלים קיימים?,,1131,"מפגעים,קל,וקל,קלים,דירוג קל,בני ברק",כמה מפגעים קלים קיימים?:1131,בני ברק,9,
